Age,Account_Duration_Months,Num_Transactions,Subscription_Type,Region,Payment_Method,Previous_Expenditure,Monthly_Expenditure
19,23,2,Basic,North,Digital Wallet,198.99,62.49
43,47,35,Basic,North,Auto-Pay,27.58,84.97
34,90,37,Basic,West,Credit Card,158.27,80.01
57,46,5,Basic,West,Digital Wallet,138.0,54.07
50,107,1,Basic,West,Digital Wallet,155.82,36.66
26,12,40,Basic,South,Credit Card,68.43,108.27
60,90,12,Basic,North,Digital Wallet,103.49,60.44
71,13,36,Standard,South,Credit Card,161.34,132.51
65,104,45,Premium,North,Auto-Pay,54.18,149.13
56,62,23,Standard,North,Bank Transfer,52.95,84.45
46,82,47,Basic,East,Auto-Pay,114.7,127.96
59,89,31,Standard,North,Bank Transfer,109.48,117.55
72,97,11,Basic,North,Credit Card,63.63,51.06
43,111,10,Premium,South,Bank Transfer,66.63,94.75
52,104,3,Basic,North,Auto-Pay,62.79,16.03
67,60,14,Standard,South,Bank Transfer,156.59,91.73
42,43,16,Premium,West,Credit Card,133.86,114.67
41,76,10,Premium,North,Bank Transfer,168.16,118.92
30,108,29,Standard,North,Digital Wallet,195.34,124.59
77,100,10,Premium,South,Auto-Pay,100.09,118.66
75,112,12,Premium,West,Digital Wallet,22.67,99.19
24,68,30,Standard,East,Credit Card,19.14,76.51
74,5,41,Standard,West,Bank Transfer,66.18,89.34
53,37,1,Standard,South,Digital Wallet,187.18,62.33
62,72,5,Standard,West,Digital Wallet,109.41,83.01
37,106,20,Standard,South,Bank Transfer,61.64,102.98
18,113,8,Standard,South,Bank Transfer,85.84,62.92
25,92,43,Basic,East,Auto-Pay,123.73,86.78
63,31,12,Basic,North,Digital Wallet,134.06,53.48
33,9,1,Basic,South,Digital Wallet,39.24,42.69
31,118,20,Basic,South,Credit Card,195.64,73.8
29,51,28,Basic,East,Auto-Pay,113.51,87.55
68,29,43,Standard,South,Credit Card,35.78,115.29
40,78,37,Basic,North,Digital Wallet,179.79,112.99
32,40,47,Premium,East,Credit Card,24.18,167.54
45,41,37,Basic,North,Digital Wallet,182.47,112.2
51,86,12,Basic,North,Digital Wallet,199.35,72.22
19,11,37,Standard,East,Credit Card,143.08,141.05
49,23,49,Standard,South,Credit Card,156.38,143.6
40,1,49,Basic,North,Bank Transfer,74.09,97.1
39,46,44,Premium,North,Bank Transfer,188.9,174.53
68,101,28,Premium,North,Bank Transfer,110.65,137.37
42,21,47,Basic,North,Digital Wallet,149.15,111.28
75,90,15,Basic,East,Credit Card,185.58,67.88
79,110,6,Premium,East,Auto-Pay,195.28,108.66
78,36,44,Standard,West,Digital Wallet,168.31,128.76
39,54,20,Standard,West,Auto-Pay,67.57,78.9
75,87,14,Premium,North,Credit Card,193.64,113.68
75,57,2,Basic,South,Digital Wallet,129.34,50.78
39,1,9,Standard,North,Auto-Pay,186.82,87.21
66,63,37,Basic,South,Auto-Pay,138.46,103.71
69,54,20,Standard,North,Bank Transfer,68.38,82.96
59,55,26,Standard,West,Bank Transfer,80.3,91.86
23,115,29,Standard,West,Bank Transfer,114.59,119.14
32,40,1,Basic,South,Digital Wallet,160.1,47.92
71,15,35,Basic,North,Credit Card,70.42,101.78
60,21,6,Standard,South,Credit Card,120.15,58.07
77,47,37,Standard,West,Bank Transfer,75.67,117.77
54,73,5,Standard,North,Bank Transfer,165.0,66.13
50,53,33,Basic,North,Bank Transfer,98.68,80.13
25,9,49,Premium,South,Auto-Pay,24.58,143.49
70,74,14,Basic,East,Bank Transfer,41.55,45.04
77,52,12,Premium,South,Auto-Pay,21.61,89.46
61,57,42,Basic,West,Credit Card,104.87,116.39
61,117,20,Standard,West,Digital Wallet,30.2,78.12
22,26,24,Basic,West,Digital Wallet,31.69,64.55
56,41,43,Premium,West,Digital Wallet,188.8,160.13
21,35,34,Standard,West,Digital Wallet,175.8,128.7
23,63,25,Basic,East,Auto-Pay,95.9,77.3
62,116,29,Basic,North,Auto-Pay,197.3,92.49
49,25,39,Basic,South,Bank Transfer,10.04,63.44
69,90,31,Basic,South,Auto-Pay,126.66,91.54
47,75,47,Premium,West,Bank Transfer,127.12,168.83
64,38,43,Standard,South,Bank Transfer,96.91,110.49
52,2,23,Standard,West,Digital Wallet,85.42,86.37
72,7,44,Standard,East,Auto-Pay,96.52,130.52
57,82,38,Standard,East,Auto-Pay,88.84,94.32
69,91,20,Basic,North,Bank Transfer,148.79,67.98
33,34,23,Basic,East,Bank Transfer,35.72,66.03
30,91,45,Standard,East,Credit Card,47.55,129.39
67,17,16,Premium,North,Credit Card,44.3,130.22
77,43,42,Basic,South,Bank Transfer,59.87,119.33
59,59,8,Basic,West,Credit Card,109.8,53.15
47,108,21,Standard,West,Credit Card,31.13,72.71
36,51,1,Premium,South,Bank Transfer,174.95,110.62
34,54,8,Basic,North,Bank Transfer,66.5,37.15
73,24,29,Standard,South,Auto-Pay,40.88,84.14
36,25,32,Premium,East,Bank Transfer,138.37,136.89
45,71,38,Basic,North,Bank Transfer,17.24,76.67
75,52,5,Basic,North,Digital Wallet,127.79,55.37
72,70,47,Standard,North,Auto-Pay,142.66,128.27
43,117,22,Premium,West,Auto-Pay,50.83,113.8
54,88,47,Basic,South,Auto-Pay,17.97,115.03
43,33,34,Standard,North,Digital Wallet,79.09,106.48
70,49,1,Standard,North,Bank Transfer,28.73,67.51
79,29,26,Standard,North,Auto-Pay,32.13,102.19
40,63,43,Standard,South,Auto-Pay,58.31,122.35
26,107,10,Standard,West,Credit Card,66.14,61.97
29,22,30,Standard,East,Auto-Pay,110.69,115.54
70,26,18,Standard,West,Bank Transfer,138.89,88.33
18,28,17,Standard,North,Bank Transfer,122.63,84.77
75,114,26,Standard,West,Credit Card,38.19,92.44
75,85,8,Premium,West,Auto-Pay,42.7,92.09
18,49,47,Basic,East,Auto-Pay,176.97,109.3
64,71,40,Premium,South,Auto-Pay,116.09,132.29
51,81,49,Premium,South,Digital Wallet,175.29,183.85
49,84,12,Basic,West,Auto-Pay,80.59,59.38
79,105,27,Standard,West,Bank Transfer,126.74,82.81
71,49,8,Standard,South,Bank Transfer,109.5,63.01
65,20,25,Basic,South,Digital Wallet,70.63,73.49
42,118,46,Basic,East,Digital Wallet,99.28,111.3
57,86,4,Basic,North,Auto-Pay,105.47,26.45
62,92,33,Basic,West,Credit Card,48.15,78.75
70,63,1,Premium,South,Digital Wallet,69.85,91.95
18,61,19,Basic,West,Digital Wallet,160.37,69.24
33,104,31,Premium,West,Auto-Pay,184.0,148.82
78,49,16,Standard,South,Auto-Pay,78.36,73.8
56,71,14,Premium,East,Digital Wallet,68.32,114.96
22,1,48,Standard,West,Credit Card,47.09,110.57
39,96,5,Basic,East,Digital Wallet,138.91,36.58
46,13,41,Standard,South,Auto-Pay,71.39,114.86
72,94,26,Basic,North,Auto-Pay,197.67,75.05
20,87,28,Standard,North,Digital Wallet,71.88,68.52
29,51,2,Premium,West,Credit Card,84.89,100.19
43,56,6,Basic,South,Digital Wallet,124.63,38.03
33,83,9,Basic,East,Digital Wallet,162.32,43.49
68,62,33,Standard,West,Auto-Pay,99.21,98.04
54,32,41,Premium,South,Credit Card,90.3,137.47
39,30,25,Standard,South,Bank Transfer,199.17,107.62
74,29,48,Basic,East,Credit Card,11.99,84.38
46,49,13,Standard,West,Digital Wallet,180.06,94.79
31,45,9,Basic,South,Digital Wallet,38.34,48.56
45,93,13,Standard,South,Digital Wallet,159.33,70.35
22,30,31,Premium,South,Credit Card,127.41,129.29
64,16,41,Standard,East,Auto-Pay,74.95,109.67
66,40,11,Premium,West,Digital Wallet,176.04,114.23
47,19,4,Basic,West,Digital Wallet,12.45,43.21
63,18,34,Standard,West,Credit Card,53.07,115.79
79,1,38,Premium,West,Bank Transfer,117.71,178.59
69,78,46,Basic,North,Bank Transfer,76.79,76.74
22,115,4,Premium,North,Auto-Pay,125.97,84.9
29,47,38,Basic,West,Auto-Pay,14.58,102.41
33,114,19,Standard,East,Digital Wallet,32.13,53.36
43,66,6,Premium,North,Credit Card,34.15,107.77
43,118,34,Standard,South,Digital Wallet,45.96,101.81
65,92,18,Basic,North,Auto-Pay,97.27,67.05
38,113,13,Standard,South,Credit Card,152.9,68.98
56,114,41,Standard,West,Credit Card,182.05,126.19
53,94,23,Premium,North,Auto-Pay,168.72,153.43
50,38,19,Standard,East,Bank Transfer,47.41,77.54
79,51,45,Basic,North,Bank Transfer,93.82,100.19
47,63,11,Standard,North,Credit Card,47.89,70.9
54,4,1,Standard,North,Digital Wallet,60.25,50.93
40,1,24,Standard,West,Bank Transfer,105.67,97.99
75,8,7,Standard,East,Digital Wallet,22.94,47.49
27,29,25,Premium,North,Bank Transfer,51.45,115.64
71,55,21,Standard,East,Bank Transfer,187.72,95.52
22,103,15,Standard,West,Digital Wallet,98.56,56.74
53,3,1,Basic,South,Auto-Pay,94.62,44.13
51,32,12,Basic,North,Bank Transfer,12.77,27.66
69,10,7,Basic,East,Bank Transfer,57.01,40.52
48,74,15,Basic,East,Digital Wallet,174.6,82.2
27,83,21,Standard,West,Auto-Pay,41.28,61.07
75,110,19,Standard,North,Bank Transfer,88.87,92.84
36,34,29,Standard,South,Bank Transfer,12.72,83.61
75,97,25,Premium,East,Auto-Pay,100.88,114.78
49,87,33,Premium,North,Bank Transfer,13.99,148.32
18,55,49,Premium,South,Auto-Pay,165.73,169.25
73,92,32,Standard,East,Auto-Pay,166.72,109.84
22,32,49,Standard,East,Digital Wallet,159.67,129.19
62,50,35,Standard,South,Credit Card,63.84,115.75
21,7,44,Basic,South,Auto-Pay,169.08,105.07
33,93,38,Basic,West,Digital Wallet,113.17,104.7
41,8,26,Premium,North,Credit Card,81.02,123.17
33,65,11,Premium,North,Bank Transfer,128.81,120.87
72,57,35,Basic,West,Credit Card,12.34,65.44
19,119,8,Standard,East,Auto-Pay,37.16,47.69
66,67,46,Premium,South,Auto-Pay,151.04,161.58
45,88,14,Basic,South,Auto-Pay,56.39,49.33
49,87,10,Basic,South,Auto-Pay,123.62,51.74
44,59,2,Premium,East,Auto-Pay,83.17,119.25
37,72,46,Standard,South,Digital Wallet,172.41,161.47
41,54,9,Basic,South,Auto-Pay,190.96,67.78
29,111,3,Standard,West,Digital Wallet,177.88,77.64
67,101,21,Premium,East,Bank Transfer,61.42,111.23
52,67,26,Standard,North,Auto-Pay,46.89,76.04
77,51,8,Basic,West,Auto-Pay,100.14,48.69
50,97,48,Basic,West,Credit Card,11.39,105.46
50,92,2,Standard,North,Bank Transfer,14.9,63.4
78,111,6,Standard,West,Auto-Pay,115.13,82.12
68,8,28,Standard,East,Auto-Pay,108.89,83.62
60,34,29,Basic,South,Bank Transfer,198.97,92.87
54,35,26,Premium,East,Digital Wallet,48.35,101.33
29,96,25,Basic,North,Auto-Pay,59.04,81.83
20,88,12,Basic,North,Credit Card,31.57,38.79
18,78,5,Basic,West,Auto-Pay,184.33,55.48
50,32,34,Basic,East,Credit Card,157.78,102.93
57,46,48,Standard,East,Credit Card,166.24,172.98
27,107,37,Standard,North,Auto-Pay,181.53,127.3
60,16,15,Basic,East,Auto-Pay,109.73,59.1
61,68,44,Standard,North,Credit Card,95.73,108.52
46,116,36,Basic,East,Bank Transfer,72.77,104.72
30,37,15,Standard,East,Bank Transfer,121.95,80.11
29,54,43,Premium,East,Auto-Pay,96.31,170.28
48,85,48,Basic,North,Digital Wallet,95.8,122.04
63,14,23,Standard,West,Bank Transfer,188.02,100.3
19,95,6,Basic,East,Auto-Pay,196.97,42.79
78,55,46,Basic,North,Bank Transfer,161.33,120.37
68,48,44,Basic,North,Digital Wallet,153.78,105.09
67,82,43,Standard,East,Auto-Pay,139.31,129.22
52,7,45,Standard,East,Digital Wallet,41.55,128.92
40,74,21,Basic,West,Auto-Pay,21.23,36.84
34,7,23,Premium,North,Digital Wallet,141.24,130.56
43,33,43,Standard,North,Bank Transfer,148.47,138.04
25,23,16,Premium,South,Bank Transfer,18.92,107.79
46,85,47,Standard,North,Digital Wallet,186.33,124.39
43,19,15,Standard,West,Digital Wallet,27.32,73.78
27,112,25,Basic,South,Digital Wallet,64.32,82.94
43,19,36,Basic,South,Auto-Pay,137.75,100.93
79,36,11,Premium,South,Bank Transfer,42.28,95.4
51,29,15,Basic,East,Auto-Pay,20.53,61.8
68,60,4,Premium,East,Bank Transfer,72.92,82.01
58,82,21,Standard,North,Credit Card,155.53,79.37
24,2,13,Basic,South,Auto-Pay,88.6,51.58
21,1,22,Basic,West,Bank Transfer,134.06,80.58
75,47,19,Basic,East,Bank Transfer,120.13,82.74
70,69,34,Premium,West,Auto-Pay,14.22,133.0
67,20,14,Standard,West,Auto-Pay,197.82,104.05
62,11,4,Basic,East,Bank Transfer,17.87,44.32
28,106,48,Basic,East,Auto-Pay,193.88,118.41
46,2,46,Basic,East,Digital Wallet,114.47,106.7
73,67,27,Standard,East,Auto-Pay,193.0,128.55
53,87,29,Basic,South,Auto-Pay,31.8,56.4
42,119,47,Premium,South,Auto-Pay,103.18,163.23
38,12,28,Basic,South,Bank Transfer,42.21,61.63
78,20,35,Basic,South,Digital Wallet,19.69,92.56
74,5,8,Standard,North,Credit Card,127.33,74.58
53,37,16,Standard,South,Credit Card,49.48,74.16
27,38,42,Premium,East,Digital Wallet,121.66,173.35
54,94,36,Standard,West,Digital Wallet,31.35,88.49
26,9,30,Basic,South,Digital Wallet,73.08,79.85
41,98,18,Standard,North,Bank Transfer,158.51,90.66
52,53,2,Basic,East,Credit Card,93.04,45.94
66,44,49,Basic,West,Digital Wallet,129.27,139.34
52,99,13,Premium,West,Bank Transfer,133.02,104.79
65,116,4,Standard,South,Credit Card,170.31,60.43
53,86,26,Premium,West,Auto-Pay,71.74,112.7
35,108,25,Standard,South,Bank Transfer,140.59,97.54
66,24,30,Standard,South,Credit Card,192.71,117.98
56,81,11,Basic,East,Bank Transfer,148.75,62.99
49,74,7,Basic,East,Credit Card,103.08,70.04
41,30,31,Premium,North,Credit Card,129.84,157.52
40,59,44,Basic,East,Auto-Pay,150.54,126.22
79,110,10,Premium,East,Bank Transfer,126.33,138.07
49,87,39,Standard,South,Digital Wallet,13.17,112.81
54,96,13,Basic,East,Auto-Pay,47.01,62.55
29,81,31,Standard,South,Auto-Pay,163.99,122.21
66,114,7,Standard,South,Credit Card,61.8,70.76
72,115,49,Basic,East,Digital Wallet,149.0,124.18
30,81,42,Premium,North,Bank Transfer,80.7,141.84
40,14,42,Standard,North,Digital Wallet,109.16,106.41
42,9,36,Basic,West,Digital Wallet,22.91,77.97
52,40,20,Standard,West,Digital Wallet,44.43,86.05
58,66,4,Premium,East,Digital Wallet,191.87,108.55
47,109,7,Basic,North,Digital Wallet,179.13,46.94
34,25,1,Premium,South,Credit Card,133.93,91.3
66,103,44,Basic,West,Credit Card,97.33,101.28
79,73,45,Standard,South,Auto-Pay,138.39,131.46
37,118,42,Standard,West,Credit Card,127.54,129.87
65,22,47,Basic,East,Auto-Pay,118.02,119.93
42,107,13,Basic,North,Auto-Pay,21.24,38.79
39,110,22,Standard,West,Bank Transfer,130.23,106.26
30,4,21,Standard,North,Digital Wallet,156.09,109.99
76,26,22,Standard,South,Credit Card,198.88,110.48
36,58,28,Basic,East,Bank Transfer,12.1,73.59
66,29,9,Premium,North,Credit Card,148.73,120.92
53,109,26,Standard,East,Auto-Pay,118.64,86.27
29,98,9,Premium,North,Credit Card,92.47,111.48
78,87,15,Basic,South,Digital Wallet,34.24,42.06
58,37,10,Standard,South,Auto-Pay,87.73,62.75
36,75,24,Standard,East,Auto-Pay,77.33,91.75
29,70,42,Basic,South,Bank Transfer,67.54,68.85
26,18,8,Standard,West,Digital Wallet,148.87,77.74
24,85,24,Basic,North,Auto-Pay,143.14,90.45
45,42,16,Standard,South,Digital Wallet,121.91,64.79
31,100,49,Standard,West,Credit Card,188.35,156.37
48,41,26,Basic,East,Digital Wallet,76.47,64.49
69,38,27,Standard,West,Auto-Pay,56.32,94.88
36,34,37,Standard,East,Bank Transfer,134.62,110.85
75,17,4,Basic,East,Auto-Pay,47.77,43.79
64,37,24,Premium,North,Digital Wallet,69.85,131.98
33,25,19,Premium,North,Digital Wallet,52.67,115.81
70,102,36,Standard,West,Auto-Pay,23.14,100.92
22,76,39,Basic,North,Digital Wallet,167.22,98.97
52,87,10,Standard,North,Credit Card,58.36,65.52
29,117,25,Standard,North,Auto-Pay,99.88,101.8
42,106,18,Basic,West,Bank Transfer,18.23,60.12
69,86,19,Standard,South,Auto-Pay,142.87,99.99
76,85,36,Standard,North,Credit Card,72.81,93.33
38,27,10,Standard,North,Credit Card,151.5,79.35
53,57,33,Standard,West,Credit Card,88.36,97.8
70,31,5,Standard,South,Credit Card,47.19,66.06
40,6,47,Premium,North,Credit Card,107.5,149.45
33,91,49,Basic,East,Bank Transfer,34.8,105.79
74,40,35,Standard,West,Digital Wallet,93.7,106.87
56,98,44,Premium,North,Credit Card,70.29,126.79
62,12,34,Standard,North,Credit Card,183.27,132.76
70,109,33,Standard,East,Auto-Pay,21.58,95.93
59,53,21,Standard,East,Bank Transfer,141.86,111.04
75,71,17,Standard,West,Bank Transfer,44.72,55.97
56,10,22,Premium,West,Digital Wallet,70.62,112.89
31,45,48,Standard,East,Bank Transfer,88.95,124.3
48,17,37,Premium,West,Auto-Pay,182.52,158.52
75,26,15,Basic,East,Auto-Pay,56.09,38.76
22,85,35,Basic,North,Digital Wallet,27.35,84.23
52,92,28,Standard,East,Auto-Pay,70.55,118.12
40,62,7,Basic,East,Credit Card,29.89,42.68
46,46,32,Basic,South,Credit Card,34.43,76.58
60,64,11,Basic,East,Auto-Pay,119.03,40.83
28,2,10,Basic,East,Digital Wallet,21.57,30.34
35,54,9,Basic,South,Bank Transfer,15.88,36.96
64,107,14,Premium,West,Digital Wallet,145.74,109.7
29,65,13,Basic,South,Bank Transfer,78.71,65.07
26,51,25,Standard,North,Auto-Pay,33.82,90.28
27,53,2,Standard,South,Auto-Pay,58.19,85.39
75,36,35,Premium,North,Credit Card,132.0,134.28
61,115,7,Basic,West,Bank Transfer,62.35,43.3
34,26,21,Premium,South,Digital Wallet,103.96,102.19
78,29,18,Standard,South,Auto-Pay,33.12,49.2
55,21,3,Standard,West,Digital Wallet,121.74,74.18
24,11,42,Standard,North,Credit Card,70.05,120.67
63,40,39,Premium,South,Bank Transfer,129.12,140.76
30,11,41,Basic,North,Bank Transfer,163.6,108.66
57,36,49,Standard,South,Auto-Pay,126.21,127.73
59,113,11,Standard,East,Bank Transfer,66.19,63.45
26,59,39,Standard,South,Auto-Pay,58.59,104.75
67,39,24,Premium,West,Credit Card,72.21,109.42
44,104,46,Basic,West,Bank Transfer,41.28,88.79
75,99,19,Premium,North,Auto-Pay,44.42,100.65
19,54,4,Basic,South,Digital Wallet,160.23,56.06
22,98,26,Basic,North,Auto-Pay,83.1,39.27
46,55,38,Basic,North,Bank Transfer,92.84,90.49
54,111,42,Basic,East,Credit Card,122.87,91.08
55,24,32,Standard,East,Bank Transfer,122.03,96.44
36,118,39,Basic,West,Bank Transfer,22.8,77.41
25,22,45,Basic,North,Auto-Pay,167.99,113.78
65,69,46,Premium,West,Digital Wallet,43.69,146.23
62,56,36,Premium,South,Bank Transfer,147.38,136.44
18,33,40,Premium,North,Digital Wallet,156.81,163.08
39,36,37,Premium,North,Auto-Pay,145.83,138.49
69,111,33,Standard,South,Digital Wallet,120.01,102.14
34,20,36,Basic,South,Auto-Pay,12.78,81.03
24,83,3,Basic,West,Credit Card,78.47,41.31
42,99,9,Standard,West,Digital Wallet,124.92,67.0
62,116,8,Basic,South,Digital Wallet,83.62,12.41
21,107,33,Standard,West,Credit Card,174.06,106.03
53,81,6,Basic,South,Digital Wallet,68.67,43.89
23,62,41,Basic,North,Credit Card,65.77,100.78
77,109,39,Standard,North,Bank Transfer,60.54,110.48
48,107,4,Standard,East,Auto-Pay,73.23,53.64
36,98,13,Standard,North,Credit Card,115.91,106.21
78,73,49,Standard,South,Digital Wallet,144.33,134.58
61,26,2,Basic,West,Credit Card,135.89,53.78
71,66,5,Basic,East,Digital Wallet,163.47,39.55
56,117,44,Premium,West,Bank Transfer,178.32,152.47
44,73,27,Standard,South,Credit Card,165.06,115.23
27,73,32,Basic,North,Bank Transfer,13.6,83.92
43,40,21,Premium,East,Auto-Pay,149.82,121.45
36,17,8,Basic,South,Digital Wallet,49.6,19.06
56,1,38,Standard,East,Digital Wallet,35.26,103.08
79,89,8,Basic,East,Bank Transfer,131.31,57.92
20,61,3,Standard,North,Auto-Pay,70.75,57.3
62,43,44,Standard,South,Credit Card,20.85,105.47
30,104,3,Basic,West,Credit Card,36.15,29.59
67,42,22,Premium,East,Digital Wallet,10.18,98.88
45,25,6,Standard,East,Bank Transfer,181.61,65.15
79,39,2,Basic,West,Bank Transfer,14.68,38.22
75,35,23,Basic,South,Credit Card,49.8,66.89
37,3,44,Basic,East,Auto-Pay,89.09,99.41
45,114,2,Basic,East,Auto-Pay,77.75,30.83
25,101,38,Standard,East,Credit Card,183.23,123.57
78,108,17,Premium,South,Credit Card,17.65,103.97
58,44,35,Standard,South,Bank Transfer,107.32,132.24
56,51,34,Basic,West,Auto-Pay,139.29,102.55
18,94,23,Basic,South,Credit Card,187.02,75.46
20,102,30,Basic,South,Credit Card,127.87,77.31
30,98,8,Standard,North,Digital Wallet,162.71,68.17
45,12,22,Standard,West,Credit Card,25.91,76.73
79,19,44,Basic,East,Credit Card,83.33,92.7
74,101,36,Standard,South,Auto-Pay,81.05,115.56
77,44,5,Premium,East,Bank Transfer,178.39,76.39
66,59,13,Standard,East,Auto-Pay,38.76,75.04
42,49,29,Premium,North,Bank Transfer,38.86,124.73
73,61,31,Standard,South,Digital Wallet,72.43,116.17
50,17,47,Standard,West,Credit Card,20.35,126.57
55,74,16,Standard,South,Digital Wallet,44.67,65.25
70,57,42,Standard,East,Bank Transfer,193.39,144.68
23,55,30,Basic,West,Auto-Pay,91.35,77.84
75,113,16,Basic,South,Auto-Pay,130.08,44.05
61,47,12,Basic,East,Digital Wallet,147.96,65.15
62,12,17,Standard,East,Bank Transfer,79.72,73.07
49,62,16,Basic,North,Digital Wallet,37.97,52.15
62,80,12,Premium,North,Digital Wallet,49.25,118.3
78,88,8,Standard,North,Credit Card,69.52,69.03
64,83,20,Standard,East,Digital Wallet,130.85,80.62
38,8,3,Basic,South,Credit Card,85.67,50.82
33,95,16,Premium,North,Credit Card,11.29,101.69
71,21,30,Premium,South,Auto-Pay,109.45,121.35
38,81,45,Standard,North,Credit Card,185.09,117.89
28,87,23,Basic,West,Credit Card,164.29,68.82
77,101,28,Standard,West,Auto-Pay,166.79,120.9
54,118,40,Basic,North,Digital Wallet,161.06,103.24
53,80,5,Basic,East,Bank Transfer,71.51,41.85
52,70,20,Standard,North,Bank Transfer,155.39,79.85
36,72,40,Standard,North,Bank Transfer,37.2,117.74
37,25,44,Standard,East,Digital Wallet,134.97,103.91
74,82,1,Premium,West,Credit Card,131.9,87.12
35,89,30,Standard,South,Bank Transfer,14.86,94.0
64,12,21,Standard,North,Digital Wallet,159.71,85.18
58,15,20,Basic,East,Credit Card,181.62,87.51
66,59,6,Premium,North,Auto-Pay,60.81,80.99
31,26,22,Basic,East,Bank Transfer,164.35,64.49
32,105,18,Premium,South,Credit Card,25.66,117.89
48,109,8,Premium,South,Bank Transfer,123.99,104.85
18,26,39,Basic,West,Bank Transfer,102.27,100.97
70,47,32,Standard,East,Bank Transfer,113.73,120.78
71,32,33,Premium,East,Credit Card,185.98,119.52
71,10,16,Standard,West,Digital Wallet,175.55,101.5
20,16,12,Premium,West,Credit Card,159.17,103.74
33,71,38,Premium,East,Bank Transfer,62.0,130.4
40,17,34,Standard,West,Credit Card,183.25,125.74
74,23,14,Basic,South,Auto-Pay,28.53,44.62
28,26,36,Premium,North,Digital Wallet,172.13,158.35
29,85,33,Standard,South,Credit Card,72.35,101.31
27,86,23,Basic,West,Auto-Pay,20.22,60.9
49,7,45,Basic,East,Digital Wallet,137.18,104.64
33,14,2,Standard,East,Auto-Pay,53.94,39.96
25,79,41,Premium,South,Digital Wallet,56.28,132.31
55,117,21,Premium,East,Credit Card,68.15,113.24
29,7,2,Standard,West,Auto-Pay,22.1,69.81
41,9,27,Basic,South,Bank Transfer,43.65,86.76
45,115,9,Basic,East,Auto-Pay,10.98,29.56
70,48,1,Premium,North,Digital Wallet,94.63,89.92
25,72,11,Basic,North,Credit Card,26.01,38.2
75,114,3,Basic,West,Digital Wallet,139.7,50.77
45,59,23,Basic,East,Auto-Pay,54.77,68.07
53,87,26,Standard,West,Auto-Pay,189.28,116.37
43,93,4,Premium,South,Bank Transfer,175.54,69.67
25,82,18,Basic,North,Credit Card,64.99,62.4
75,95,6,Standard,South,Credit Card,158.81,71.78
77,94,35,Standard,East,Auto-Pay,162.62,112.28
67,116,22,Premium,West,Credit Card,197.45,145.5
45,39,43,Basic,West,Bank Transfer,123.59,122.89
45,99,15,Standard,West,Digital Wallet,25.57,76.85
54,18,22,Basic,South,Credit Card,132.9,69.41
58,59,37,Premium,North,Auto-Pay,128.75,134.8
53,106,42,Standard,South,Digital Wallet,131.29,89.27
44,103,12,Basic,South,Digital Wallet,68.36,52.64
71,17,47,Standard,East,Bank Transfer,173.34,147.0
34,14,49,Standard,East,Auto-Pay,192.3,142.82
26,31,42,Basic,East,Credit Card,51.37,103.21
50,24,38,Premium,North,Auto-Pay,26.75,117.67
70,99,18,Basic,North,Digital Wallet,46.96,55.49
37,108,45,Standard,East,Auto-Pay,165.9,131.23
30,60,35,Standard,East,Credit Card,138.56,113.46
45,45,30,Standard,North,Credit Card,130.85,120.89
65,98,24,Basic,West,Bank Transfer,86.34,70.94
46,3,42,Premium,North,Credit Card,119.79,149.73
30,37,30,Standard,North,Credit Card,68.5,85.53
63,43,14,Standard,North,Auto-Pay,100.67,95.19
52,40,6,Standard,East,Auto-Pay,160.68,58.53
78,90,3,Standard,West,Digital Wallet,196.44,71.23
23,55,16,Basic,North,Bank Transfer,187.17,93.55
35,87,7,Basic,East,Auto-Pay,187.43,65.98
68,108,14,Premium,South,Credit Card,86.42,107.12
22,39,9,Basic,South,Digital Wallet,99.07,49.72
64,15,15,Standard,North,Auto-Pay,144.07,75.95
42,113,21,Premium,South,Bank Transfer,185.22,130.56
19,4,35,Basic,West,Bank Transfer,36.98,74.8
27,93,2,Standard,South,Digital Wallet,67.81,56.68
73,86,27,Standard,South,Digital Wallet,36.46,71.54
47,25,2,Standard,West,Digital Wallet,126.28,69.07
67,13,35,Basic,North,Digital Wallet,68.2,98.28
76,82,18,Basic,North,Digital Wallet,71.96,59.15
62,33,14,Standard,West,Credit Card,23.47,75.39
22,16,20,Premium,West,Credit Card,76.46,116.29
72,109,18,Standard,West,Auto-Pay,173.87,89.39
73,42,10,Standard,South,Bank Transfer,54.28,54.09
50,108,25,Basic,West,Credit Card,142.09,70.29
71,66,2,Standard,East,Credit Card,129.63,69.51
18,55,25,Basic,South,Credit Card,174.06,83.84
35,99,33,Premium,North,Auto-Pay,35.13,141.82
49,42,36,Premium,North,Digital Wallet,195.74,165.3
64,34,31,Standard,North,Auto-Pay,120.7,117.27
66,30,14,Premium,South,Bank Transfer,199.14,127.33
